Year	Virgin	Repeat	pVirgin	pRepeat page4	page5	page6	page5	page6	page7
2006	190	36								
2007	93	18								
2008	107	20								
2009	89	17								
2010	228	43	231.9	36.2	158.4	72.1	1.4	20.6	15.6	>
2011	166	32	170.2	36.2	96.8	72.1	1.4	20.6	15.6	>
2012	150	29	153.6	28.2	108.1	44.0	1.4	12.6	15.6	>
2013	141	27	144.7	24.5	94.6	49.2	0.8	14.1	9.5	0.9
2014	107	21	107.3	23.5	63.3	43.1	0.9	12.3	10.6	0.6
2015	68	13	73.2	18.2	43.6	28.8	0.8	8.2	9.3	0.6
2016	112	21	99.7	12.5	79.3	19.8	0.6	5.7	6.2	0.6
2017	8	2	36.5	15.0	0.0	36.1	0.4	10.3	4.3	0.4
2018	13	3	16.0	8.1	15.3	0.0	0.7	0.0	7.8	0.3
2019	35	7	39.9	2.5	32.9	6.9	0.0	2.0	0.0	0.5
2020	55	11	53.3	5.8	38.2	15.0	0.1	4.3	1.5	0.0
2021	6	1	21.9	8.3	4.2	17.4	0.3	5.0	3.2	0.1

