"","SS","A1","A2a","A2b","A3a","A3b","A4","NAA"
"1","Recruits Per Spawner (R/S)",1.4963139430528,1.10992564564914,1.1081474278417,0.667444238359067,0.529658203045916,1.14352696980019,0.505528303682069
"2","Geomean Spawners (NOR)",567.6259071868,284.100408928383,283.000920005417,42.0827261005691,18.7341652565091,159.29132925827,8.58159086294017
"3","QET Threshold",0.65326,0.82618,0.82681,0.98865,0.99637,0.81082,0.9961
"4","SAR",0.0421642753118992,0.0421644268441768,0.0421644268441768,0.0421644268441768,0.0421643710581782,0.0421707346605508,0.0421707346605508
"5","Marine Survival",0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515,0.042243341488515
"6","Initial Marine Surival",0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003,0.0420972950121003
"7","DPS",0.864429403345112,0.774492597691732,0.773076612576641,0.6772570255476,0.760862887763483,0.77695728730346,0.681780750781058
"8","DPE",0.769988665306037,0.650256401303577,0.649403231181552,0.523891523256809,0.435498552828881,0.72258184444685,0.46989887570272
"9","DPS*DPE",0.678963828914395,0.504777875828724,0.503169162061492,0.35404379677425,0.320928794065426,0.566935569701592,0.318472867853973
