,Year,Total,Male,FosterCount,Smolt Year,PreDam,PostDam,smoltsurvival,passprob
,1984,,,0,1985,,,0.039167,0.45
,1985,,,0,1986,,,0.039167,0.45
,1986,,,0,1987,,,0.039167,0.45
,1987,,,0,1989,,,0.039167,0.45
,1988,,,0,1990,,,0.039167,0.45
,1989,,,0,1991,,,0.039167,0.45
,1990,,,0,1992,,,0.039167,0.45
,1991,,,80,1993,,,0.025988,0.45
,1992,,,209,1994,,,0.027178,0.45
,1993,,,148,1995,,,0.028764,0.45
,1994,,,135,1996,,,0.033125,0.45
,1995,,,172,1997,,,0.026781,0.45
,1996,,,76,1998,,,0.035504,0.45
,1997,,,194,1999,,,0.04502,0.45
,1998,,,208,2000,,,0.074361,0.45
,1999,,,190,2001,,,0.031539,0.45
,2000,,,189,2002,,,0.027574,0.45
,2001,,,453,2003,,,0.029,0.45
,2002,,,579,2004,,,0.022,0.45
,2003,,,494,2005,,,0.018,0.45
,2004,,,588,2006,,,0.037,0.45
,2005,,,364,2007,,,0.058,0.45
,2006,,,226,2008,,,0.07,0.45
,2007,,,111,2009,,,0.076,0.45
,2008,,,127,2010,,,0.044,0.45
,2009,,,106,2011,,,0.018,0.45
,2010,,,271,2012,,,0.035,0.45
,2011,,,198,2013,,,0.039,0.45
,2012,,,179,2014,,,0.028,0.45
,2013,,,168,2015,,,0.017265,0.45
,2014,,,128,2016,,,0.030746,0.45
,2015,,,81,2017,,,0.02123,0.45
,2016,,,133,2018,,,0.029953,0.27
,2017,,,10,2019,,,0.0292,0.27
,2018,,,16,,,,,0.27
,2019,,,42,,,,,0.27
,2020,,,62,,,,,0.27
,2021,,,25,,,,,0.27
