,,,,,smolts,
Year,Total,Male,Female,Smolt Year,Pre Dam,Post Dam
2006,419,193,226,2008,9968.6191568968,3357.43526992137
2007,209,98,111,2009,4896.09170980329,1653.18640749811
2008,256,129,127,2010,5601.83465896413,1883.01683392203
2009,192,86,106,2011,4675.54703819053,1578.7185513045
2010,426,155,271,2012,11953.5212014116,4036.15780569358
2011,315,117,198,2013,8733.56899586534,2935.72703241388
2012,317,138,179,2014,7895.49924373684,2665.94925173119
2013,283,115,168,2015,7410.30096618877,2483.03089457369
2014,214,86,128,2016,5645.94359328668,1897.84373812614
2015,127,46,81,2017,3572.82368012673,1206.37927033646
2016,206,73,133,2018,5866.48826489944,1971.97825914669
2017,18,8,10,2019,441.089343225522,0
2018,29,13,16,2020,705.742949160835,0
2019,79,37,42,2021,1852.57524154719,0
2020,105,43,62,2022,2734.75392799824,
2021,43,18,25,2023,1102.72335806381,
